,name,name_en,code,lat,lon,has_flightable_airport,time_zone
224,Бугульма,Bugulma,UUA,54.61667,52.816666,True,Europe/Moscow
225,Мыс-Каменный,Mys-Kamenny,YMK,68.46843,73.59573,False,Asia/Yekaterinburg
226,Саратов,Saratov,RTW,51.566666,46.066666,True,Europe/Samara
227,Усть-Камчатск,Ust-Kamchatsk,УКЧ,56.2377777,162.68556,True,Asia/Kamchatka
228,Корлики,Korliki,КИЮ,61.5349998,82.40667,False,Asia/Yekaterinburg
229,Енисейск,Eniseysk,EIE,58.466667,92.11667,False,Asia/Krasnoyarsk
230,Бованенково,Bovanenkovo,BVJ,70.2,68.4,True,Asia/Dushanbe
231,Сосновый Бор,Sosnovy Bor,СБР,61.6016655,80.94,False,Asia/Yekaterinburg
232,Романтик,Romantik,РМК,43.5435,41.185261,False,Europe/Moscow
233,Чехломей,Chekhlomej,ЧЕХ,61.1083336,80.595,False,Asia/Yekaterinburg
234,Усть-Кокса,Ust'-Koksa,УКО,50.2635558,85.71014,True,Asia/Novokuznetsk
235,Кавалерово,Kavalerovo,KVR,44.266865,135.0357,True,Asia/Vladivostok
236,Троицко-Печорск,Troitsko-Pechorsk,ТЦП,62.731945,56.19611,False,Europe/Moscow
237,Сочи,Adler/Sochi,AER,43.44884,39.941105,True,Europe/Moscow
238,Итуруп,Iturup Island,BVV,44.928646,147.61337,False,Asia/Sakhalin
239,Агзу,Agzu,АЗУ,47.5966682,138.36833,False,Asia/Vladivostok
240,Мирный,Mirnyj,MJZ,62.533333,114.03333,True,Asia/Yakutsk
241,Оссора,Ossora,ОСО,59.2236099,163.06639,True,Asia/Kamchatka
242,Кодинск,Kodinsk,KNY,58.4799995,99.095,True,Asia/Krasnoyarsk
243,Нефтеюганск,Nefteyugansk,NFG,61.13333,73.05,False,Asia/Yekaterinburg
244,Тутончаны,Tutonchany,ТНЧ,64.2099991,93.79,False,Asia/Krasnoyarsk
245,Иваново,Ivanovo,IWA,56.942955,40.944546,True,Europe/Moscow
246,Николаевск-на-Амуре,Nikolaevsk-na-Amure,NLI,53.15,140.73333,True,Asia/Vladivostok
247,Тарко-Сале,Tarko-Sale,TQL,64.92134,77.797356,True,Asia/Yekaterinburg
248,Магадан,Magadan,GDX,59.916668,150.71666,True,Asia/Magadan
249,Октябрьский,Oktiabrskij,OKT,54.433334,53.38333,False,Asia/Yekaterinburg
250,Анапа,Anapa,AAQ,44.9,37.316666,True,Europe/Moscow
251,Амгу,Amgu,АМУ,45.8416672,137.67833,False,Asia/Vladivostok
