INFO | Дата выбрана с первого раза: 20.06.2026
INFO | Найдено поездов для Екатеринбург на 20.06.2026: 10
INFO | Успешно спарсено строк: 22 для Екатеринбург, 20.06.2026
INFO | Начало парсинга: Екатеринбург, день 21
INFO | Запуск браузера
INFO | Открыт сайт для Екатеринбург, день 21
INFO | Дата выбрана с первого раза: 21.06.2026
INFO | Найдено поездов для Екатеринбург на 21.06.2026: 9
INFO | Успешно спарсено строк: 20 для Екатеринбург, 21.06.2026
INFO | Начало парсинга: Екатеринбург, день 22
INFO | Запуск браузера
INFO | Открыт сайт для Екатеринбург, день 22
INFO | Дата выбрана с первого раза: 22.06.2026
INFO | Найдено поездов для Екатеринбург на 22.06.2026: 10
INFO | Успешно спарсено строк: 22 для Екатеринбург, 22.06.2026
INFO | Начало парсинга: Екатеринбург, день 23
INFO | Запуск браузера
INFO | Открыт сайт для Екатеринбург, день 23
INFO | Дата выбрана с первого раза: 23.06.2026
INFO | Найдено поездов для Екатеринбург на 23.06.2026: 9
INFO | Успешно спарсено строк: 20 для Екатеринбург, 23.06.2026
INFO | Начало парсинга: Екатеринбург, день 24
INFO | Запуск браузера
INFO | Открыт сайт для Екатеринбург, день 24
INFO | Дата выбрана с первого раза: 24.06.2026
INFO | Найдено поездов для Екатеринбург на 24.06.2026: 10
INFO | Успешно спарсено строк: 22 для Екатеринбург, 24.06.2026
INFO | Начало парсинга: Екатеринбург, день 25
INFO | Запуск браузера
INFO | Открыт сайт для Екатеринбург, день 25
INFO | Дата выбрана с первого раза: 25.06.2026
INFO | Найдено поездов для Екатеринбург на 25.06.2026: 9
INFO | Успешно спарсено строк: 20 для Екатеринбург, 25.06.2026
INFO | Начало парсинга: Екатеринбург, день 26
INFO | Запуск браузера
INFO | Открыт сайт для Екатеринбург, день 26
INFO | Дата выбрана с первого раза: 26.06.2026
INFO | Найдено поездов для Екатеринбург на 26.06.2026: 10
INFO | Успешно спарсено строк: 22 для Екатеринбург, 26.06.2026
INFO | Начало парсинга: Екатеринбург, день 27
INFO | Запуск браузера
INFO | Открыт сайт для Екатеринбург, день 27
INFO | Дата выбрана с первого раза: 27.06.2026
INFO | Найдено поездов для Екатеринбург на 27.06.2026: 9
INFO | Успешно спарсено строк: 20 для Екатеринбург, 27.06.2026
INFO | Начало парсинга: Екатеринбург, день 28
INFO | Запуск браузера
INFO | Открыт сайт для Екатеринбург, день 28
INFO | Дата выбрана с первого раза: 28.06.2026
INFO | Найдено поездов для Екатеринбург на 28.06.2026: 10
INFO | Успешно спарсено строк: 22 для Екатеринбург, 28.06.2026
INFO | Начало парсинга: Екатеринбург, день 29
INFO | Запуск браузера
INFO | Открыт сайт для Екатеринбург, день 29
