name,name_en,code,lat,lon,has_flightable_airport,time_zone
Пуг-Юг,Pug-Jug,ПУГ,61.0080566,79.89222,False,Asia/Yekaterinburg
Итуруп,Iturup,ITU,45.25611,147.95583,True,Asia/Srednekolymsk
Корлики,Korliki,КИЮ,61.5349998,82.40667,False,Asia/Yekaterinburg
Светлый [ПРУ],Svetly,СЛЙ,50.7999992,60.91667,False,Asia/Yekaterinburg
Когалым,Kogalym,KGP,62.19583,74.53361,True,Asia/Yekaterinburg
Суринда,Surinda,СДР,62.5499992,97.41666,False,Asia/Krasnoyarsk
Чебоксары,Cheboksary,CSY,56.13333,47.266666,True,Europe/Moscow
Нижневартовск,Nizhnevartovsk,NJC,60.9476,76.49145,True,Asia/Yekaterinburg
Тобольск,Tobolsk,RMZ,58.13333,68.23333,True,Asia/Yekaterinburg
Белорецк,Beloreck,BCX,53.933334,58.333332,False,Asia/Yekaterinburg
Минеральные Воды,Mineralnye Vody,MRV,44.218105,43.085815,True,Europe/Moscow
Ханты-Мансийск,Khanty-Mansiysk,HMA,61.02613,69.09714,True,Asia/Yekaterinburg
Эконда,Ekonda,ЭКО,65.7566681,105.33,False,Asia/Krasnoyarsk
Крабозаводское,Krabozavodskoye,КБЗ,43.83028,146.75167,True,Asia/Magadan
Улан-Удэ,Ulan-Ude,UUD,51.833332,107.5,True,Asia/Irkutsk
Байкит,Bajkit,BKA,61.6766663,96.35333,True,Asia/Krasnoyarsk
Харута,Kharuta,ХАУ,66.8499985,59.53333,False,Europe/Moscow
Комсомольск-на-Амуре,Komsomolsk Na Amure,KXK,50.4,136.95,True,Asia/Vladivostok
Домбай,Dombay,ДМЙ,43.29069,41.624932,False,Europe/Moscow
Белоярский,Beloyarsky,EYK,63.696682,66.70121,True,Asia/Yekaterinburg
Кускургуль,Kuskurgul,КГЬ,58.0916672,66.605,True,Asia/Yekaterinburg
Мирный,Mirnyj,MJZ,62.533333,114.03333,True,Asia/Yakutsk
Зырянка,Zyryanka,ZKP,65.75,150.9,True,Asia/Srednekolymsk
Анапа,Anapa,AAQ,44.9,37.316666,True,Europe/Moscow
Брянск,Bryansk,BZK,53.266666,34.333332,True,Europe/Moscow
Смоленск,Smolensk,LNX,54.8,32.05,False,Europe/Moscow
Усть-Хайрюзово,Ust-Khayryuzovo,УХЙ,57.0991669,156.73584,True,Asia/Kamchatka
Кодинск,Kodinsk,KNY,58.4799995,99.095,True,Asia/Krasnoyarsk
Ейск,Yeysk,EIK,46.71056,38.27778,False,Europe/Moscow
Йошкар-Ола,Yoshkar-Ola,JOK,56.716667,47.9,True,Europe/Moscow
Хабаровск,Khabarovsk,KHV,48.524563,135.16861,True,Asia/Vladivostok
Светлогорск,Svetlogorsk,SES,66.8383331,88.40667,True,Asia/Krasnoyarsk
Черский,Cherskiy,CYX,68.75,161.35,True,Asia/Srednekolymsk
Тарко-Сале,Tarko-Sale,TQL,64.92134,77.797356,True,Asia/Yekaterinburg
Хужир,Khuzhir,ХЖР,53.2166672,107.395,True,Asia/Irkutsk
Железноводск,Zheleznovodsk,ЖЛН,44.140291,43.010387,False,Europe/Moscow
Стрелка-Чуня,Strelka-Chunya,СЧУ,61.7383347,102.80167,False,Asia/Krasnoyarsk
Пахачи,Pakhachi,ПАЧ,60.5561104,169.10472,True,Asia/Kamchatka
Северо-Енисейский,Severo-Eniseyskiy,VEO,60.373333,93.01667,True,Asia/Krasnoyarsk
Анадырь,Anadyr,DYR,64.73333,177.75,True,Asia/Anadyr
Краснодар,Krasnodar,KRR,45.034138,39.139004,True,Europe/Moscow
Владимир,Vladimir,ВЛМ,56.126667,40.31667,True,Europe/Moscow
Тугур,Tugur,ТУУ,53.7733345,136.81833,False,Asia/Vladivostok
Красный Кут,Krasny Kut,КСЫ,50.9602776,46.94556,False,Europe/Samara
Орск,Orsk,OSW,51.2,58.566666,True,Asia/Yekaterinburg
Алдан,Aldan,ADH,58.6,125.4,False,Asia/Yakutsk
Мурманск,Murmansk,MMK,68.785095,32.759155,True,Europe/Moscow
Геленджик,Gelendzik,GDZ,44.566666,38.016666,True,Europe/Moscow
Рыбинск,Rybinsk,RYB,58.13333,38.86667,False,Europe/Moscow
Чиринда,Chirinda,ЧИР,67.5400009,100.41333,False,Asia/Krasnoyarsk
